# 100 150
0	1
0	2
0	99
1	0
1	2
1	3
2	0
2	1
2	3
3	2
3	1
3	4
4	3
4	5
4	7
5	4
5	7
5	6
6	7
6	5
7	4
7	5
7	6
7	8
8	7
8	9
8	10
8	11
9	8
9	10
10	9
10	8
10	11
11	8
11	10
11	12
12	11
12	13
12	15
13	12
13	14
13	15
14	13
14	15
14	16
15	12
15	13
15	14
16	14
16	17
16	18
17	16
17	18
17	19
18	16
18	17
18	19
19	17
19	18
19	20
20	19
20	21
20	22
21	20
21	22
21	23
22	20
22	21
22	23
23	21
23	22
23	24
24	23
24	25
24	26
25	24
25	26
25	27
26	24
26	25
26	27
27	25
27	26
27	28
28	27
28	29
28	30
29	28
29	30
29	31
30	28
30	29
30	31
31	29
31	30
31	32
32	31
32	33
32	34
33	32
33	34
33	35
34	32
34	33
34	35
35	33
35	34
35	36
36	35
36	37
36	38
37	36
37	38
37	39
38	36
38	37
38	39
39	37
39	38
39	40
40	39
40	41
40	42
41	40
41	42
41	43
42	40
42	41
42	43
43	41
43	42
43	44
44	43
44	45
44	46
45	44
45	46
45	47
46	44
46	45
46	47
47	45
47	46
47	48
48	47
48	49
48	50
49	48
49	50
49	51
50	48
50	49
50	51
51	49
51	50
51	52
52	51
52	53
52	54
53	52
53	54
53	55
54	52
54	53
54	55
55	53
55	54
55	56
56	55
56	57
56	58
57	56
57	58
57	59
58	56
58	57
58	59
59	57
59	58
59	60
60	59
60	61
60	62
61	60
61	62
61	63
62	60
62	61
62	63
63	61
63	62
63	64
64	63
64	65
64	66
65	64
65	66
65	67
66	64
66	65
66	67
67	65
67	66
67	68
68	67
68	69
68	70
69	68
69	70
69	71
70	68
70	69
70	71
71	69
71	70
71	72
72	71
72	73
72	74
73	72
73	74
73	75
74	72
74	73
74	75
75	73
75	74
75	76
76	75
76	77
76	78
77	76
77	78
77	79
78	76
78	77
78	79
79	77
79	78
79	80
80	79
80	81
80	82
81	80
81	82
81	83
82	80
82	81
82	83
83	81
83	82
83	84
84	83
84	85
84	86
85	84
85	86
85	87
86	84
86	85
86	87
87	85
87	86
87	88
88	87
88	89
88	90
89	88
89	90
89	91
90	88
90	89
90	91
91	89
91	90
91	92
92	91
92	93
92	94
93	92
93	94
93	95
94	92
94	93
94	95
95	93
95	94
95	96
96	95
96	97
96	98
97	96
97	98
97	99
98	96
98	97
98	99
99	0
99	97
99	98
